Búpeningur eftir landsvæðum frá 1998   ,,,,,,,,,
,,,,,,,,,
Ár,Búpeningur,Allt landið,Höfuðborgarsvæði og Suðurnes,Vesturland,Vestfirðir,Norðurland vestra,Norðurland eystra,Austurland,Suðurland
1998,Nautgripir alls,75500,978,10103,2292,11704,16791,5474,28158
1999,Nautgripir alls,74534,978,10056,2170,11344,16604,5408,27974
2000,Nautgripir alls,72135,1025,9777,2163,11165,15890,4475,27640
2001,Nautgripir alls,70168,1008,9269,2103,10812,15367,4783,26826
2002,Nautgripir alls,67225,928,8757,2003,10524,14948,4513,25552
2003,Nautgripir alls,66035,1389,8704,2103,10189,15109,4380,24161
2004,Nautgripir alls,64639,1264,8424,2169,10082,15151,3834,23715
2005,Nautgripir alls,65979,1380,8589,2297,9763,15659,4065,24226
2006,Nautgripir alls,68670,1470,8835,2385,10343,16313,3904,25420
2007,Nautgripir alls,70660,1409,8756,2446,10769,16969,4366,25945
2008,Nautgripir alls,72012,1310,9136,2457,10802,17304,4649,26354
2009,Nautgripir alls,73498,1305,9494,2465,11133,17392,4742,26967
2010,Nautgripir alls,73781,1386,9432,2484,11259,17270,4830,27120
2011,Nautgripir alls,72773,1271,8998,2445,10884,17150,4824,27201
2012,Nautgripir alls,71513,1260,8820,2128,10675,16315,4638,27677
2013,Nautgripir alls,70461,1216,8882,2079,10661,15909,4202,27512
2014,Nautgripir alls,74444,1294,9170,2254,11066,16842,4484,29334
