Sveitarfélag;Framlög á íbúa;Skatttekjur á íbúa;Framlög til félagsþjónustu á íbúa;Framlög til heilbrigðismála á íbúa;Framlög til menningarmála á íbúa;Framlög til æskulýðs og íþróttamála á íbúa
Reykjavík;27973;-587226;157020;571;30346;60199
Kópavogur;22939;-559750;75542;50;14623;60818
Seltjarnarnes;36841;-580641;58975;1369;21325;89856
Garðabær;39961;-605228;67455;360;11267;82247
Hafnarfjörður;36632;-573127;94595;2668;12825;57353
Mosfellsbær;63127;-621442;136411;0;15527;71216
Kjósarhreppur;54492;-619942;38655;0;42697;5973
Reykjanesbær;129738;-544743;96921;0;22186;50705
Grindavík;138213;-640750;101518;134;23251;105221
Sandgerði;118864;-758295;89934;0;25827;105383
Sveitarfélagið Garður;228796;-621053;60581;0;27932;75234
Sveitarfélagið Vogar;264519;-704499;81561;565;28518;94877
Akranes;102939;-610698;112441;0;27097;55499
Skorradalshreppur;4810;0;0;0;0;0
Hvalfjarðarsveit;5829;-953723;117551;566;41924;37476
Borgarbyggð;207387;-677887;85602;0;33072;72295
Grundarfjarðarbær;155329;-688911;68654;0;21599;55475
Helgafellssveit;194316;-579528;40698;585;0;47075
Stykkishólmur;153891;-698563;62519;0;37431;130001
Eyja- og Miklaholtshreppur;226690;-659257;32236;0;14688;0
Snæfellsbær;214457;-780661;71461;0;23516;79155
Dalabyggð;363151;-743629;28432;0;74379;55560
Bolungarvík;204078;-681751;91465;2994;33427;60910
Ísafjarðarbær;186981;-642831;49926;1957;31427;82774
Reykhólahreppur;484409;-923654;67991;1183;32116;82225
Tálknafjarðarhreppur;309684;-727011;37625;275;26021;123985
Vesturbyggð;284426;-717206;44106;1791;41974;95447
Súðavíkurhreppur;521200;-1005251;95903;5557;41438;38598
Árneshreppur;275569;-704327;18677;0;43645;1546
Kaldrananeshreppur;343792;-764875;41492;0;24822;150223
Strandabyggð;348165;-835831;59271;2194;49242;134643
Sveitarfélagið Skagafjörður;175774;-667598;53758;1672;33350;78734
Húnaþing vestra;394916;-769158;54308;944;50165;72179
Blönduósbær;236078;-711216;73087;2300;28735;170746
Sveitarfélagið Skagaströnd;177200;-691424;65883;0;43645;1546
Skagabyggð;411611;-720894;77454;0;24822;150223
Húnavatnshreppur;270520;-750958;60908;6362;31784;19246
Akrahreppur;378373;-711463;98232;4155;89289;57623
Akureyri;76218;-624796;159315;4468;38005;90174
Norðurþing;193680;-709318;55681;112;18018;62902
Fjallabyggð;164976;-676679;50403;2919;30991;108281
Dalvíkurbyggð;205133;-670004;60677;1596;44132;136393
Eyjafjarðarsveit;269017;-675592;43451;827;35550;78678
Hörgársveit;273098;-689274;44108;0;47072;84357
Svalbarðsstrandarhreppur;163464;-617995;38704;1279;13095;57918
Grýtubakkahreppur;218447;-689490;65987;1713;11826;98618
Skútustaðahreppur;140544;-711062;49044;1080;40816;110419
Tjörneshreppur;83729;-450221;95254;1678;55779;1356
Þingeyjarsveit;323556;-783462;43036;1662;56271;38773
Svalbarðshreppur;197190;-559316;40684;1020;8765;55817
Langanesbyggð;319526;-770184;38489;4958;30197;116804
Seyðisfjörður;149589;-693352;42038;0;53569;73566
Fjarðabyggð;79959;-727356;69339;1649;35580;131794
Vopnafjarðarhreppur;243610;-736920;36652;0;31219;62795
Fljótsdalshreppur;9038;-1761894;41572;0;144026;210708
Borgarfjarðarhreppur;431560;-766526;30718;3393;9000;31222
Breiðdalshreppur;230514;-707501;42772;2523;28352;43302
Djúpavogshreppur;335135;-862977;29081;0;17770;145354
Fljótsdalshérað;195738;-744387;112648;1064;31826;68176
Sveitarfélagið Hornafjörður;212486;-770614;84497;1621;28110;87757
Vestmannaeyjar;71710;-614378;71280;756;30041;76135
Sveitarfélagið Árborg;114921;-579293;84332;0;18174;67614
Mýrdalshreppur;240755;-729525;40143;180;40234;72096
Skaftárhreppur;230023;-703001;46262;0;38149;129029
Ásahreppur;8902;-873324;31105;0;18463;55310
Rangárþing eystra;209403;-613623;36117;0;75049;70532
Rangárþing ytra;185894;-691284;53311;0;14296;96232
Hrunamannahreppur;193728;-662719;63039;0;22703;39555
Hveragerði;177526;-612868;76612;0;21362;68787
Sveitarfélagið Ölfus;137511;-736750;102587;766;32900;108095
Grímsnes- og Grafningshreppur;20794;-1090391;77985;71;37762;156643
Skeiða- og Gnúpverjahreppur;87850;-809086;55094;0;76853;73304
Bláskógabyggð;136166;-749618;57045;0;13907;45083
Flóahreppur;297211;-708373;53292;0;69636;11593
Alls;194895.6;-708218.3;64746.0;994.4;33722.0;76722.1
