Sveitarfélag;2002;2014
Alls;-189839;-417035
Reykjavíkurborg;-196792;-429352
Kópavogsbær;-198735;-435689
Seltjarnarneskaupstaður;-223837;-491270
Garðabær;-217000;-455822
Hafnarfjarðarkaupstaður;-192228;-412543
Mosfellsbær;-179603;-413940
Kjósarhreppur;-135871;-381387
Reykjanesbær;-186685;-352288
Grindavíkurbær;-179757;-383907
Sandgerðisbær;-164957;-372477
Sveitarfélagið Garður;-173425;-358084
Sveitarfélagið Vogar;-165811;-356726
Akraneskaupstaður;-192073;-414086
Skorradalshreppur;0;0
Hvalfjarðarsveit;-80163;-406905
Borgarbyggð;-153672;-349540
Grundarfjarðarbær;-171355;-434374
Helgafellssveit;-136446;-321547
Stykkishólmsbær;-195570;-418143
Eyja- og Miklaholtshreppur;-131373;-350708
Snæfellsbær;-195097;-475360
Dalabyggð;-131963;-309468
Bolungarvíkurkaupstaður;-183144;-429140
Ísafjarðarbær;-190054;-387198
Reykhólahreppur;-162661;-370827
Tálknafjarðarhreppur;-180668;-383645
Vesturbyggð;-181722;-397808
Súðavíkurhreppur;-186502;-425211
Árneshreppur;-143458;-361653
Kaldrananeshreppur;-199212;-392777
Strandabyggð;-157603;-400385
Sveitarfélagið Skagafjörður;-170396;-398485
Húnaþing vestra;-147708;-355285
Blönduósbær ;-183616;-383124
Sveitarfélagið Skagaströnd;-209850;-455279
Skagabyggð;-101020;-281015
Húnavatnshreppur;-129158;-314318
Akrahreppur;0;-264242
Akureyrarkaupstaður;-184003;-401437
Norðurþing;-174971;-438847
Fjallabyggð;-202276;-451031
Dalvíkurbyggð;-174677;-409748
Eyjafjarðarsveit;-146992;-362737
Hörgársveit;-101300;-356871
Svalbarðsstrandarhreppur;-156222;-403897
Grýtubakkahreppur;-200745;-428331
Skútustaðahreppur;-178393;-436223
Tjörneshreppur;-142836;-336678
Þingeyjarsveit;-141083;-338629
Svalbarðshreppur;-136300;-340755
Langanesbyggð;-188497;-378078
Seyðisfjarðarkaupstaður;-190068;-434565
Fjarðabyggð;-206568;-492910
Vopnafjarðarhreppur;-186020;-424054
Fljótsdalshreppur;-121857;-317187
Borgarfjarðarhreppur;-194200;-308919
Breiðdalshreppur;-161517;-396906
Djúpavogshreppur;-176636;-425746
Fljótsdalshérað;-162574;-401909
Sveitarfélagið Hornafjörður;-178547;-438597
Vestmannaeyjabær;-205480;-455192
Sveitarfélagið Árborg;-179629;-373752
Mýrdalshreppur;-156114;-386280
Skaftárhreppur;-140370;-377391
Ásahreppur;-131150;-283662
Rangárþing eystra;-138397;-346454
Rangárþing ytra;-156774;-366194
Hrunamannahreppur;-136129;-346551
Hveragerðisbær;-166344;-339691
Sveitarfélagið Ölfus;-171001;-406670
Grímsnes- og Grafningshreppur;-138651;-293430
Skeiða- og Gnúpverjahreppur;-141085;-388405
Bláskógabyggð;-150061;-343206
Flóahreppur;-136152;-337876
