Grímsneshreppur,Laugardalshreppur,28
Breiðdalshreppur,Stöðvarhreppur,31
Hálshreppur,Flateyjarhreppur í S-Þingeyjarsýslu,23
Ljósavatnshreppur,Bárðdælahreppur,50
Sauðárhreppur,Sauðárkrókshreppur,70
Sauðárhreppur,Skarðshreppur Skagafjarðarsýslu,100
Rauðasandshreppur,Patrekshreppur,50
Fáskrúðsfjarðarhreppur,Búðahreppur,48
Reyðarfjarðarhreppur,Eskifjarðarhreppur,61
Reyðarfjarðarhreppur,Helgustaðahreppur,100
Skriðuhreppur,Öxnadalshreppur,70
Neshreppur innan Ennis,Fróðárhreppur,28
Neshreppur innan Ennis,Ólafsvíkurhreppur,100
Arnarneshreppur,Árskógshreppur,56
Húsavíkurhreppur,Tjörneshreppur,33
Borgarhreppur,Borgarneshreppur,45
Norðfjarðarhreppur,Neshreppur,75
Torfalækjarhreppur,Blönduósbær,58
Skarðsstrandarhreppur,Klofningshreppur,40
Skarðsstrandarhreppur,Skarðshreppur Dalasýslu,100
Mosvallahreppur,Flateyrarhreppur,60
Árskógshreppur,Hríseyjarhreppur,50
Tjörneshreppur,Reykjahreppur,43
Ásahreppur,Djúpárhreppur,57
Kirkjuhvammshreppur,Hvammstangahreppur,55
Vindhælishreppur,Höfðahreppur,60
Vindhælishreppur,Skagahreppur,100
Geithellnahreppur,Búlandshreppur,63
Keflavíkurhreppur,Njarðvík,19
Presthólahreppur,Raufarhafnarhreppur,54
Svarfaðardalshreppur,Dalvíkurhreppur,67
Ölfushreppur,Hveragerðishreppur,60
Sandvíkurhreppur,Selfoss,88
Nesjahreppur,Hafnarhreppur,67
Sauðaneshreppur,Þórshafnarhreppur,70
Hofshreppur Skagafjarðarsýslu,Hofsóshreppur,54
Seltjarnarneshreppur,Kópavogshreppur,70
